Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Max Trainer,CAM45694 ICASESF14B,5/16/2015,5/16/2015,5/11/2015,23,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,5/20/2015,5/16/2015,5/11/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,5/17/2015,5/17/2015,5/11/2015,45,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,5/20/2015,5/17/2015,5/11/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,6/7/2015,5/17/2015,5/11/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,,5/17/2015,5/11/2015,4,Electronic - Short Form,Web
Bowflex Max Trainer,CAM127 1800BOWFLEX_BFC,,5/11/2015,5/11/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44236 SAWMAX,,5/11/2015,5/11/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44236 SAWMAX,,5/13/2015,5/11/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44236 SAWMAX,,5/15/2015,5/11/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,,5/12/2015,5/11/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,,5/13/2015,5/11/2015,2,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,,5/17/2015,5/11/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM45632 ICAEE1SITECMT,5/11/2015,5/11/2015,5/11/2015,3,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45632 ICAEE1SITECMT,,5/11/2015,5/11/2015,3,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45632 ICAEE1SITECMT,5/13/2015,5/13/2015,5/11/2015,4,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45632 ICAEE1SITECMT,,5/13/2015,5/11/2015,3,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45632 ICAEE1SITECMT,,5/14/2015,5/11/2015,2,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45632 ICAEE1SITECMT,5/15/2015,5/15/2015,5/11/2015,3,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45632 ICAEE1SITECMT,,5/15/2015,5/11/2015,1,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45632 ICAEE1SITECMT,5/16/2015,5/16/2015,5/11/2015,1,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45632 ICAEE1SITECMT,,5/16/2015,5/11/2015,1,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45632 ICAEE1SITECMT,5/17/2015,5/17/2015,5/11/2015,1,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45635 ICAEEDIGIKBUY,,5/11/2015,5/11/2015,1,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45699 SAWICAEEMAX,5/14/2015,5/14/2015,5/11/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM45699 SAWICAEEMAX,,5/16/2015,5/11/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM46536 ICAODAREDL3,5/13/2015,5/13/2015,5/11/2015,1,Online Display,Web
Bowflex Max Trainer,CAM2577 icaosgctsl1_NLS,,5/14/2015,5/11/2015,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM30895 SAWICAOSYCR,,5/15/2015,5/11/2015,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM45624 ICAOSGCESL2,5/11/2015,5/11/2015,5/11/2015,3,Online Search,Web
Bowflex Max Trainer,CAM45624 ICAOSGCESL2,5/12/2015,5/12/2015,5/11/2015,4,Online Search,Web
Bowflex Max Trainer,CAM45624 ICAOSGCESL2,,5/12/2015,5/11/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45624 ICAOSGCESL2,5/13/2015,5/13/2015,5/11/2015,4,Online Search,Web
Bowflex Max Trainer,CAM45624 ICAOSGCESL2,,5/13/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45624 ICAOSGCESL2,5/14/2015,5/14/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45624 ICAOSGCESL2,,5/14/2015,5/11/2015,5,Online Search,Web
Bowflex Max Trainer,CAM45624 ICAOSGCESL2,5/15/2015,5/15/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45624 ICAOSGCESL2,,5/15/2015,5/11/2015,4,Online Search,Web
Bowflex Max Trainer,CAM45624 ICAOSGCESL2,5/16/2015,5/16/2015,5/11/2015,3,Online Search,Web
Bowflex Max Trainer,CAM45624 ICAOSGCESL2,,5/16/2015,5/11/2015,3,Online Search,Web
Bowflex Max Trainer,CAM45624 ICAOSGCESL2,5/17/2015,5/17/2015,5/11/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45624 ICAOSGCESL2,,5/17/2015,5/11/2015,4,Online Search,Web
Bowflex Max Trainer,CAM45626 ICAOSGCEML2,5/11/2015,5/11/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45626 ICAOSGCEML2,,5/11/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45626 ICAOSGCEML2,5/13/2015,5/13/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45626 ICAOSGCEML2,,5/13/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45626 ICAOSGCEML2,5/14/2015,5/14/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45626 ICAOSGCEML2,,5/14/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45626 ICAOSGCEML2,5/17/2015,5/17/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45626 ICAOSGCEML2,,5/17/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45628 ICAOSBCESL2,5/13/2015,5/13/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45628 ICAOSBCESL2,,5/14/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45628 ICAOSBCESL2,5/15/2015,5/15/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45628 ICAOSBCESL2,5/17/2015,5/17/2015,5/11/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45630 ICAOSBCEML2,,5/12/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45630 ICAOSBCEML2,5/17/2015,5/17/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45633 ICAOSGCEGL1CMT,5/11/2015,5/11/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45633 ICAOSGCEGL1CMT,,5/11/2015,5/11/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45633 ICAOSGCEGL1CMT,,5/13/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45633 ICAOSGCEGL1CMT,5/14/2015,5/14/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45633 ICAOSGCEGL1CMT,5/30/2015,5/14/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45633 ICAOSGCEGL1CMT,,5/15/2015,5/11/2015,5,Online Search,Web
Bowflex Max Trainer,CAM45633 ICAOSGCEGL1CMT,,5/17/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45634 ICAOSBCEGL1CMT,5/12/2015,5/12/2015,5/11/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45634 ICAOSBCEGL1CMT,5/13/2015,5/13/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45634 ICAOSBCEGL1CMT,5/17/2015,5/17/2015,5/11/2015,3,Online Search,Web
Bowflex Max Trainer,CAM45690 SAWICAOSGCE,5/11/2015,5/11/2015,5/11/2015,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM45690 SAWICAOSGCE,,5/12/2015,5/11/2015,2,Online Search,Call Center Internal
Bowflex Max Trainer,CAM45690 SAWICAOSGCE,5/14/2015,5/14/2015,5/11/2015,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM45690 SAWICAOSGCE,,5/14/2015,5/11/2015,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM45690 SAWICAOSGCE,,5/15/2015,5/11/2015,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM45691 SAWICAOSBCE,,5/11/2015,5/11/2015,1,Online Search,Call Center Internal
