Bowflex Selecttech Dumbbells,Online Search,CAM39439 dosbidgl1st,Web,4/11/2016,4/16/2016,1,349.00
Treadclimber,Online Search,CAM43666 dosg2tmobile4,Web,4/11/2016,4/16/2016,3,7634.29
Bowflex Max Trainer,Online Search,CAM44429 dosbiesl1,Web,4/11/2016,4/16/2016,7,11392.00
Bowflex Max Trainer,Online Search,CAM44435 dosg2egl1mx,Web,4/11/2016,4/16/2016,10,14257.00
Bowflex Max Trainer,Online Search,CAM44497 dosg2esl1,Web,4/11/2016,4/16/2016,18,31567.96
Bowflex Max Trainer,Online Search,CAM44520 dosbiegl1mx,Web,4/11/2016,4/16/2016,3,6147.00
Bowflex Max Trainer,Online Search,CAM44551 dosg2esl4,Web,4/11/2016,4/16/2016,1,1599.00
Bowflex Max Trainer,Online Search,CAM44560 dosg2esl5,Web,4/11/2016,4/16/2016,1,1698.00
Bowflex Max Trainer,Online Search,CAM45009 dosg2eml1,Web,4/11/2016,4/16/2016,5,7544.00
Bowflex Max Trainer,Online Search,CAM45730 DOSG2ESL7,Web,4/11/2016,4/16/2016,5,8154.00
Bowflex Max Trainer,Online Search,CAM47150 DOSG2ESL9,Web,4/11/2016,4/16/2016,3,5165.00
Bowflex Max Trainer,Online Search,CAM47151 DOSG2EML2,Web,4/11/2016,4/16/2016,1,1599.00
Bowflex Catalog,Online Shopping,CAM33953 SAWDOFG2C,Call Center Internal,4/11/2016,4/16/2016,1,2358.00
Bowflex Max Trainer,Online Shopping,CAM45043 SAWDOFG2E,Call Center Internal,4/11/2016,4/16/2016,1,1208.00
Bowflex Home Gyms,Online Shopping,CAM32062 dofg2gfeed1,Web,4/11/2016,4/16/2016,1,2799.00
Bowflex Catalog,Online Shopping,CAM33966 dofg2cfeed1,Web,4/11/2016,4/16/2016,0,136.94
Bowflex Max Trainer,Online Shopping,CAM44887 dofg2efeed1,Web,4/11/2016,4/16/2016,10,16803.01
Bowflex Max Trainer,Online Shopping,CAM44948 dofbiefeed1,Web,4/11/2016,4/16/2016,2,3507.00
Bowflex Max Trainer,Online Shopping,CAM48975 DOFG2EFEED2,Web,4/11/2016,4/16/2016,3,4247.00
Bowflex Catalog,Online Shopping,CAM48980 DOFG2CFEED3,Web,4/11/2016,4/16/2016,1,1123.45
Bowflex Max Trainer,Online Social,CAM48200 SAWDOXFBESCODE,Call Center Internal,4/11/2016,4/16/2016,2,3149.60
Bowflex Max Trainer,Online Social,CAM48202 DOXFBESCODE002,Call Center Internal,4/11/2016,4/16/2016,1,1599.00
Treadclimber,Online Social,CAM48185 DOXFBTSCODE002,Web,4/11/2016,4/16/2016,1,3218.10
Treadclimber,Online Social,CAM48188 DOXFBTSCODE005,Web,4/11/2016,4/16/2016,1,2029.10
Bowflex Max Trainer,Online Social,CAM48202 DOXFBESCODE002,Web,4/11/2016,4/16/2016,6,11202.99
Bowflex Max Trainer,Online Social,CAM48203 DOXFBESCODE003,Web,4/11/2016,4/16/2016,3,4797.00
Bowflex Selecttech Dumbbells,Online Social,CAM48208 DOXFBDSCODE002,Web,4/11/2016,4/16/2016,1,549.00
Treadclimber,Short Form,CAM48497 ION*N120HKINGTIC,Call Center Internal,4/11/2016,4/16/2016,1,3213.99
Treadclimber,Short Form,CAM48498 INSPN120HKINGTIC,Call Center Internal,4/11/2016,4/16/2016,2,2279.60
Treadclimber,Short Form,CAM48501 METVN120HKINGTIC,Call Center Internal,4/11/2016,4/16/2016,1,1599.00
Treadclimber,Short Form,CAM48507 GAMEN120HKINGTIC,Call Center Internal,4/11/2016,4/16/2016,2,3028.10
Treadclimber,Short Form,CAM48517 LMN*N60*HKINGTIC,Call Center Internal,4/11/2016,4/16/2016,3,6152.15
Bowflex Max Trainer,Short Form,CAM48745 SUNDN120J14FSTIC,Call Center Internal,4/11/2016,4/16/2016,1,1148.00
