Bowflex Selecttech Dumbbells,CAM47150 DOSG2ESL9,,2/20/2017,2/20/2017,1,Online Search,Web
Treadclimber,CAM47150 DOSG2ESL9,,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Home Gyms,CAM47152 DOSBIESL8,,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,,2/20/2017,2/20/2017,4,Online Search,Web
Bowflex Selecttech Dumbbells,CAM47152 DOSBIESL8,,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Brand,CAM47170 DOXFBGL1,,2/20/2017,2/20/2017,1,Online Social,Web
Bowflex Max Trainer,CAM47239 SAWDODCTOE,2/20/2017,2/20/2017,2/20/2017,1,Online Display,Call Center Internal
Treadclimber,CAM47239 SAWDODCTOE,,2/20/2017,2/20/2017,2,Online Display,Call Center Internal
Bowflex Max Trainer,CAM47239 SAWDODCTOE,2/20/2017,2/20/2017,2/20/2017,1,Online Display,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47251 DODCTOEDL2,2/20/2017,2/20/2017,2/20/2017,7,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,,2/20/2017,2/20/2017,16,Online Display,Web
Treadclimber,CAM47251 DODCTOEDL2,,2/20/2017,2/20/2017,2,Online Display,Web
Bowflex Catalog,CAM47254 DODCTOTDL1,2/20/2017,2/20/2017,2/20/2017,1,Online Display,Web
Treadclimber,CAM47254 DODCTOTDL1,2/20/2017,2/20/2017,2/20/2017,1,Online Display,Web
Treadclimber,CAM47254 DODCTOTDL1,,2/20/2017,2/20/2017,1,Online Display,Web
Bowflex Selecttech Dumbbells,CAM47266 DODCTODDL1,,2/20/2017,2/20/2017,1,Online Display,Web
Treadclimber,CAM47719 DOVTMTVL1,,2/20/2017,2/20/2017,1,Online Video,Call Center Internal
Treadclimber,CAM47987 DOXFBESCL001,,2/20/2017,2/20/2017,1,Online Social,Web
Bowflex Home Gyms,CAM48360 P0116FAMCIRONSRT,,2/20/2017,2/20/2017,1,Print,Call Center Internal
Bowflex Selecttech Dumbbells,CAM48360 P0116FAMCIRONSRT,,2/20/2017,2/20/2017,1,Print,Call Center Internal
Treadclimber,CAM48360 P0116FAMCIRONSRT,,2/20/2017,2/20/2017,2,Print,Call Center Internal
Bowflex Max Trainer,CAM48727 MX9*P60*J14FSTIC,2/20/2017,2/20/2017,2/20/2017,1,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM48748 SPKEN120J14FSTIC,2/20/2017,2/20/2017,2/20/2017,1,Short Form,Third Party Call Center - Evolve
Treadclimber,CAM48812 OXGNN60*HKINGTIC,2/20/2017,2/20/2017,2/20/2017,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48984 DOSG2ESL11,2/23/2017,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Max Trainer,CAM48984 DOSG2ESL11,,2/20/2017,2/20/2017,6,Online Search,Web
Treadclimber,CAM48984 DOSG2ESL11,,2/20/2017,2/20/2017,3,Online Search,Web
Bowflex Max Trainer,CAM48985 DOSBIESL10,,2/20/2017,2/20/2017,1,Online Search,Web
Treadclimber,CAM49053 DEDIKE2016Q1A,,2/20/2017,2/20/2017,1,Digital - Info Kit,Web
Bowflex Max Trainer,CAM49145 MX29P60*J14FSTIC,2/20/2017,2/20/2017,2/20/2017,1,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM49311 MX36P60*J14FSTIC,2/20/2017,2/20/2017,2/20/2017,1,Short Form,Third Party Call Center - West
Treadclimber,CAM49424 DOSG2T,,2/20/2017,2/20/2017,1,Online Search,Call Center Internal
Treadclimber,CAM49580 DODTABOOLAEDL2,2/20/2017,2/20/2017,2/20/2017,1,Online Display,Web
