Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Home Gyms,CAM39397 icaosgcwsl29,8/9/2015,8/9/2015,8/3/2015,1,Online Search,Web
Bowflex Home Gyms,CAM40991 icaosbcggl1cab,8/8/2015,8/8/2015,8/3/2015,1,Online Search,Web
Bowflex Home Gyms,CAM40991 icaosbcggl1cab,,8/9/2015,8/3/2015,1,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,8/3/2015,8/3/2015,8/3/2015,4,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,,8/3/2015,8/3/2015,1,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,8/4/2015,8/4/2015,8/3/2015,3,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,8/5/2015,8/5/2015,8/3/2015,4,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,8/6/2015,8/6/2015,8/3/2015,3,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,,8/6/2015,8/3/2015,1,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,8/7/2015,8/7/2015,8/3/2015,1,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,8/10/2015,8/8/2015,8/3/2015,1,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,8/9/2015,8/9/2015,8/3/2015,4,Online Search,Web
Bowflex Revolution,CAM47278 ICAOSGCWSL35,,8/7/2015,8/3/2015,1,Online Search,Web
Bowflex Home Gyms,CAM45438 ICAOFG2GFEED1,,8/5/2015,8/3/2015,1,Online Shopping,Call Center Internal
Bowflex Home Gyms,CAM45438 ICAOFG2GFEED1,,8/3/2015,8/3/2015,2,Online Shopping,Web
Bowflex Home Gyms,CAM45438 ICAOFG2GFEED1,,8/5/2015,8/3/2015,2,Online Shopping,Web
Bowflex Home Gyms,CAM45438 ICAOFG2GFEED1,8/6/2015,8/6/2015,8/3/2015,1,Online Shopping,Web
Bowflex Home Gyms,CAM45438 ICAOFG2GFEED1,,8/8/2015,8/3/2015,1,Online Shopping,Web
