Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/17/2015,8/23/2015,3,4987.09
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,8/17/2015,8/23/2015,1,2699.10
Bowflex Home Gyms,Electronic - UnSourced,CAM1154 DEGSAWBFG_BFX,Call Center Internal,8/24/2015,8/24/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/24/2015,8/24/2015,1,1439.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/24/2015,8/24/2015,4,7186.40
Bowflex Home Gyms,Online Social,CAM45914 DOXFBGRESPONSE,Call Center Internal,8/24/2015,8/24/2015,1,1119.31
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/24/2015,8/24/2015,3,5577.30
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/24/2015,8/24/2015,2,2878.20
Bowflex Home Gyms,Online Shopping,CAM32062 dofg2gfeed1,Web,8/24/2015,8/24/2015,1,3198.99
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,8/24/2015,8/24/2015,1,1439.10
Bowflex Home Gyms,Online Search,CAM39440 dosbiggl1bf,Web,8/24/2015,8/24/2015,1,2699.10
Bowflex Revolution,Un-Sourced,CAM40829 1800REVOLUTION,Call Center Internal,8/24/2015,8/24/2015,1,2099.30
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/24/2015,8/25/2015,1,1439.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/24/2015,8/25/2015,9,14491.00
Bowflex Home Gyms,Online Search,CAM37110 dosbigsl4,Call Center Internal,8/24/2015,8/25/2015,1,1499.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/24/2015,8/25/2015,2,4138.20
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/24/2015,8/25/2015,2,4468.09
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/24/2015,8/26/2015,1,999.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/24/2015,8/26/2015,4,5966.10
Bowflex Home Gyms,Online Social,CAM45914 DOXFBGRESPONSE,Call Center Internal,8/24/2015,8/26/2015,1,1119.30
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/24/2015,8/26/2015,2,2878.20
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/24/2015,8/26/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,8/24/2015,8/26/2015,2,1816.95
Bowflex Home Gyms,Online Search,CAM39440 dosbiggl1bf,Web,8/24/2015,8/26/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM136 1800NAUTILUS_BFX,Call Center Internal,8/24/2015,8/27/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/24/2015,8/27/2015,1,1499.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/24/2015,8/27/2015,2,2698.00
Bowflex Home Gyms,Electronic - Short Form,CAM5676 SAWWEBBF,Call Center Internal,8/24/2015,8/27/2015,1,699.30
Bowflex Home Gyms,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,8/24/2015,8/27/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/24/2015,8/27/2015,3,5947.20
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/24/2015,8/28/2015,1,2699.10
Bowflex Home Gyms,Short Form,CAM27473 SPANISHSTAT4,Call Center Internal,8/24/2015,8/28/2015,1,1599.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/24/2015,8/28/2015,8,10182.10
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,8/24/2015,8/28/2015,1,2699.10
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Call Center Internal,8/24/2015,8/28/2015,1,1599.00
Bowflex Home Gyms,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,8/24/2015,8/28/2015,2,898.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/24/2015,8/28/2015,3,4487.20
Bowflex Home Gyms,Online Search,CAM37434 dosg2gsl29,Web,8/24/2015,8/28/2015,1,1439.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/24/2015,8/29/2015,2,3598.10
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/24/2015,8/29/2015,2,2878.20
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/24/2015,8/29/2015,4,5665.11
Bowflex Home Gyms,Online Search,CAM39440 dosbiggl1bf,Web,8/24/2015,8/29/2015,2,2878.20
Bowflex Home Gyms,Online Display,CAM47243 SAWDODCTOG,Call Center Internal,8/24/2015,8/30/2015,5,3227.95
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/24/2015,8/30/2015,3,5577.30
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/24/2015,8/30/2015,2,4138.20
Bowflex Home Gyms,Online Search,CAM37109 dosbigsl3,Web,8/24/2015,8/30/2015,1,2699.10
Bowflex Home Gyms,Online Search,CAM37434 dosg2gsl29,Web,8/24/2015,8/30/2015,1,1439.10
Bowflex Home Gyms,Online Display,CAM46556 DODRFGDL3,Web,8/24/2015,8/30/2015,1,1439.10
Bowflex Home Gyms,Online Display,CAM47260 DODCTOGDL1,Web,8/24/2015,8/30/2015,1,1768.99
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/31/2015,8/31/2015,1,2309.30
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/31/2015,8/31/2015,8,12592.00
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,8/31/2015,8/31/2015,1,1439.10
Bowflex Home Gyms,Online,CAM36041 SAWBFIM0003,Call Center Internal,8/31/2015,8/31/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM4220 SAWWEBTC_BFX,Call Center Internal,8/31/2015,8/31/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/31/2015,8/31/2015,2,3537.98
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/31/2015,8/31/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,8/31/2015,8/31/2015,3,4168.10
Bowflex Home Gyms,Online Search,CAM37117 dosg2gsl27,Web,8/31/2015,8/31/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/31/2015,9/1/2015,1,1439.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/31/2015,9/1/2015,13,17853.81
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,8/31/2015,9/1/2015,2,2878.20
Bowflex Home Gyms,Electronic - UnSourced,CAM1154 DEGSAWBFG_BFX,Call Center Internal,8/31/2015,9/2/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/31/2015,9/2/2015,1,1439.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/31/2015,9/2/2015,9,12357.00
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,8/31/2015,9/2/2015,1,2699.10
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/31/2015,9/2/2015,2,2878.20
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/31/2015,9/2/2015,2,1788.10
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/31/2015,9/3/2015,1,1439.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/31/2015,9/3/2015,4,6996.20
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/31/2015,9/3/2015,4,3078.10
Bowflex Home Gyms,Online Shopping,CAM32062 dofg2gfeed1,Web,8/31/2015,9/3/2015,1,2699.10
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,8/31/2015,9/3/2015,1,1439.10
Bowflex Home Gyms,Online Search,CAM39440 dosbiggl1bf,Web,8/31/2015,9/3/2015,1,2699.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/31/2015,9/4/2015,4,6906.20
Bowflex Home Gyms,Online Social,CAM45914 DOXFBGRESPONSE,Call Center Internal,8/31/2015,9/4/2015,1,24.95
